city,city_key,Dep_reg,Dep_engine_original,peak_exposure,peak_funding_cost,monthly_rate,rate_multiple,annual_lpr,annual_rate
六安,六安,2.879681676136365,46.051125,2679.597581891185,1.129286931818182,0.0028750000000000004,1.0,0.0345,0.0345
合肥,合肥,4.3987500000000015,81.42000000000003,2400.0,1.7250000000000003,0.0028750000000000004,1.0,0.0345,0.0345
东莞,东莞,102.51415814393944,333.10901123046887,4560.791666666667,7.905008522727273,0.0028750000000000004,1.0,0.0345,0.0345
中山,中山,29.703479196995694,112.12500000000001,302.4383948000226,4.608214045480542,0.0028750000000000004,1.0,0.0345,0.0345
佛山,佛山,9.460914962121212,22.089422487437187,650.2946969696969,1.1920250946969697,0.0028750000000000004,1.0,0.0345,0.0345
惠州,惠州,84.54594829545452,102.49875776892432,3657.362121212121,9.410724431818185,0.0028750000000000004,1.0,0.0345,0.0345
广州,广州,54.73277329545454,269.918267471591,1252.5810606060606,3.2623844696969706,0.0028750000000000004,1.0,0.0345,0.0345
汕头,汕头,172.2105397727273,126.9827639296188,4749.393939393939,12.547632575757577,0.0028750000000000004,1.0,0.0345,0.0345
深圳,深圳,53.23611363636364,276.2550797872341,2972.454545454546,3.5218750000000005,0.0028750000000000004,1.0,0.0345,0.0345
清远,清远,125.24000946969697,93.9245814732143,4664.393939393939,12.547632575757577,0.0028750000000000004,1.0,0.0345,0.0345
珠海,珠海,503.92869318181823,724.8700852782765,3952.9311550136704,46.00000000000001,0.0028750000000000004,1.0,0.0345,0.0345
肇庆,肇庆,7.679151136363639,8.667003750000001,445.1681818181818,1.0038106060606062,0.0028750000000000004,1.0,0.0345,0.0345
韶关,韶关,182.63502840909098,184.53052242350086,14718.636363636364,32.2,0.0028750000000000004,1.0,0.0345,0.0345
定安,定安,91.1334553977273,22.529954819277116,2967.787878787879,7.026674242424246,0.0028750000000000004,1.0,0.0345,0.0345
白沙县,白沙,64.3317122159091,14.853081325301211,2269.4848484848485,6.524768939393941,0.0028750000000000004,1.0,0.0345,0.0345
陵水,陵水,112.38287116477272,120.1229557086614,3229.651515151514,7.026674242424246,0.0028750000000000004,1.0,0.0345,0.0345
澄迈,澄迈,215.95382812500003,166.03125000000003,3674.999999999999,10.565625,0.0028750000000000004,1.0,0.0345,0.0345
琼中,琼中,368.81578125000004,326.02500000000003,3150.0,9.05625,0.0028750000000000004,1.0,0.0345,0.0345
琼海,琼海,572.2391883515627,437.80118343750024,9896.517500000002,28.452487812500014,0.0028750000000000004,1.0,0.0345,0.0345
屯昌,屯昌,91.1334553977273,13.033237500000004,2967.7878787878785,7.026674242424246,0.0028750000000000004,1.0,0.0345,0.0345
文昌,文昌,91.13345539772729,12.936918277877703,2967.7878787878785,7.026674242424246,0.0028750000000000004,1.0,0.0345,0.0345
万宁,万宁,49.66404134615386,25.953264423076924,1745.4448160535117,4.390884615384615,0.0028750000000000004,1.0,0.0345,0.0345
海口,海口,113.04475878314395,142.63301804123716,3186.007575757576,8.155961174242428,0.0028750000000000004,1.0,0.0345,0.0345
昌江,昌江,89.57127514204547,43.93127071823206,2880.4999999999995,7.026674242424246,0.0028750000000000004,1.0,0.0345,0.0345
五指山,五指山,91.13345539772729,4.9632991449639166,2967.787878787879,7.026674242424246,0.0028750000000000004,1.0,0.0345,0.0345
儋州,儋州,179.91175125309633,28.20385454545455,6146.697565227899,15.057159090909092,0.0028750000000000004,1.0,0.0345,0.0345
北海,北海,106.1081695075758,105.28699798633089,1945.7575757575755,5.594053030303031,0.0028750000000000004,1.0,0.0345,0.0345
兰州,兰州,10.95205476641414,46.33357725527832,7343.030303030303,2.964378196022726,0.0028750000000000004,1.0,0.0345,0.0345
北京,北京,97.07162251420453,391.9505657894737,1309.3181818181815,3.7642897727272726,0.0028750000000000004,1.0,0.0345,0.0345
信阳,信阳,81.53451647727275,11.362958333333335,3142.3636363636365,8.532390151515159,0.0028750000000000004,1.0,0.0345,0.0345
丽水,丽水,11.255226420454546,58.31866776315789,3884.310606060607,1.6939303977272728,0.0028750000000000004,1.0,0.0345,0.0345
义乌,义乌,2429.587116465436,287.57192950236964,3884.3106060606056,12.484894412878786,0.0028750000000000004,1.0,0.0345,0.0345
临高,临高,27.934256152343757,14.8248359375,965.0366847826087,2.4431992187500002,0.0028750000000000004,1.0,0.0345,0.0345
乐东县,乐东,17.193126859177212,8.984725276898734,604.253164556962,1.5200743670886072,0.0028750000000000004,1.0,0.0345,0.0345
上海,上海,767.6579777988217,835.8066317340068,35261.969696969696,101.37816287878789,0.0028750000000000004,1.0,0.0345,0.0345
上饶,上饶,38.271183750000006,55.053675000000005,1235.4260869565217,3.5518500000000017,0.0028750000000000004,1.0,0.0345,0.0345
九江,九江,0.0,33.422312,1724.8000000000002,0.0,0.0028750000000000004,1.0,0.0345,0.0345
东方,东方,88.75097366240534,23.81478525121556,2727.746212121212,6.022863636363637,0.0028750000000000004,1.0,0.0345,0.0345
东营,东营,141.7757004734849,44.50015152963674,4713.545454545456,12.547632575757584,0.0028750000000000004,1.0,0.0345,0.0345
中卫,中卫,10.350661276088928,23.407395326678763,978.7110707803993,1.2650573956442832,0.0028750000000000004,1.0,0.0345,0.0345
乐山市,乐山,15.007500000000002,15.007500000000004,3600.0,4.657500000000001,0.0028750000000000004,1.0,0.0345,0.0345
六安,六安,4.3195225142045475,69.07668749999999,2679.597581891185,1.6939303977272728,0.0043125,1.5,0.0345,0.051750000000000004
合肥,合肥,6.598125000000002,122.13000000000002,2400.0,2.5875000000000004,0.0043125,1.5,0.0345,0.051750000000000004
东莞,东莞,153.77123721590914,499.66351684570327,4560.791666666667,11.85751278409091,0.0043125,1.5,0.0345,0.051750000000000004
中山,中山,44.55521879549354,168.1875,302.4383948000226,6.9123210682208125,0.0043125,1.5,0.0345,0.051750000000000004
