model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
B1,1,1,0,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.7911713345565672,313.0058128066581,97972.6388507567
B1,1,2,1,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.4812116205608903,284.2561391268389,80801.5526312968
B1,1,3,2,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.28318256720747215,846.3939698329114,716382.7521695152
B1,1,4,3,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.15491975720990325,535.6767900842186,286949.623434932
B1,1,5,4,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.04810303107920988,2423.9280210756783,5875427.051355854
B1,2,1,5,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.13148130112373946,2362.425498773626,5581054.237255815
B1,2,2,6,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.14240533048940507,562.9359698223855,316896.9061198697
B1,2,3,7,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7026824829894791,394.2509465646144,155433.80886709446
B1,2,4,8,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.10535471480659275,680.536913977564,463130.4912861064
B1,2,5,9,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.9062316639280033,276.65387791163,76537.36816354308
B1,3,1,10,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.1260668001793126,635.1641250985374,403433.4658121905
B1,3,2,11,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.4767144239844332,308.8607944242077,95394.99033235271
B1,3,3,12,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2202839703052737,2556.622962317844,6536320.971450869
B1,3,4,13,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.4127422223578152,399.280257191702,159424.72378307168
B1,3,5,14,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.5457047665962342,284.5866097389112,80989.53844268734
B1,4,1,15,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0831471907824517,635.008881250772,403236.2792673571
B1,4,2,16,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.08964362608285703,2430.1836134537552,5905792.395099151
B1,4,3,17,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.912022662832861,395.74619469321493,156615.05061416
B1,4,4,18,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-7.7926006352274815,328.4763827680664,107896.73403639326
B1,4,5,19,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.0748186733905093,592.2402636138173,350748.5298453638
B1,5,1,20,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2814790648577177,908.4149833250734,825217.7819294934
B1,5,2,21,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.594700322948321,416.44983025568536,173430.46111998914
B1,5,3,22,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-5.8171218217641565,421.36372331285827,177547.38732407498
