repeat,delta_R2,comparison
1,0.021897233752627976,B1 - B0
2,0.01925095950161615,B1 - B0
3,0.024825755492059454,B1 - B0
4,-0.003454149669310236,B1 - B0
5,0.03296574495402149,B1 - B0
6,0.011169763795050969,B1 - B0
7,0.022096709441649987,B1 - B0
8,0.023344477407921227,B1 - B0
9,-0.026591757330252097,B1 - B0
10,0.004299170856404633,B1 - B0
11,-0.011760168161608853,B1 - B0
12,0.01868894879123828,B1 - B0
13,0.012938353506230627,B1 - B0
14,0.0169781075371217,B1 - B0
15,0.01820397290871001,B1 - B0
16,0.016962188374712195,B1 - B0
17,0.012185736305512007,B1 - B0
18,0.021189987526121,B1 - B0
19,0.0013868026399855848,B1 - B0
20,0.010443922214903756,B1 - B0
1,-0.001293999123910483,B2 - B1
2,-0.005386851216128141,B2 - B1
3,-0.011387439940625299,B2 - B1
4,0.021595447674554125,B2 - B1
5,-0.027959182831815088,B2 - B1
6,-0.009581443971843129,B2 - B1
7,-0.008197452327693977,B2 - B1
8,-0.007528805041954412,B2 - B1
9,-0.019812812600735974,B2 - B1
10,0.001079519844120247,B2 - B1
11,-0.007900609620661081,B2 - B1
12,-0.012664713776645797,B2 - B1
13,0.010326630126764158,B2 - B1
14,-0.0148217151727702,B2 - B1
15,-0.041141150159204276,B2 - B1
16,-0.0010338779968466216,B2 - B1
17,-0.010079431099449865,B2 - B1
18,0.004086798099546263,B2 - B1
19,0.013229580568672294,B2 - B1
20,-0.001341606703249676,B2 - B1
1,0.020603234628717493,B2 - B0
2,0.013864108285488008,B2 - B0
3,0.013438315551434155,B2 - B0
4,0.01814129800524389,B2 - B0
5,0.005006562122206404,B2 - B0
6,0.00158831982320784,B2 - B0
7,0.01389925711395601,B2 - B0
8,0.015815672365966815,B2 - B0
9,-0.04640456993098807,B2 - B0
10,0.00537869070052488,B2 - B0
11,-0.019660777782269934,B2 - B0
12,0.006024235014592483,B2 - B0
13,0.023264983632994785,B2 - B0
14,0.0021563923643515004,B2 - B0
15,-0.022937177250494267,B2 - B0
16,0.015928310377865573,B2 - B0
17,0.0021063052060621423,B2 - B0
18,0.025276785625667264,B2 - B0
19,0.01461638320865788,B2 - B0
20,0.00910231551165408,B2 - B0
