model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE,feature_set
M0,1,1,0,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.192018306684517,383.5930588995974,147143.63483595,IV1;IV2;year_1;Region_1
M0,1,2,1,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.31587210835318813,207.00688514731817,42851.85049839498,IV1;IV2;year_1;Region_1
M0,1,3,2,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3144429764159693,856.6416977312035,733834.9982917988,IV1;IV2;year_1;Region_1
M0,1,4,3,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.41549696394127533,593.0364607343198,351692.24376028846,IV1;IV2;year_1;Region_1
M0,1,5,4,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.057681521267838765,2434.9788268805023,5929121.8873563465,IV1;IV2;year_1;Region_1
M0,2,1,5,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.14341503013231027,2374.8510680067243,5639917.595212679,IV1;IV2;year_1;Region_1
M0,2,2,6,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.28011926293839506,595.9009880912788,355097.98760816234,IV1;IV2;year_1;Region_1
M0,2,3,7,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.641613557918485,387.1162265427867,149858.97285272615,IV1;IV2;year_1;Region_1
M0,2,4,8,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.04633966921904897,702.6242059189411,493680.7747432225,IV1;IV2;year_1;Region_1
M0,2,5,9,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.0391906899954395,286.13951876260614,81875.82419769584,IV1;IV2;year_1;Region_1
M0,3,1,10,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.08572592192941664,649.6583800704204,422056.0107957229,IV1;IV2;year_1;Region_1
M0,3,2,11,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.078559145613447,282.947597634878,80059.34300734881,IV1;IV2;year_1;Region_1
M0,3,3,12,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.250048811622116,2587.6153443319595,6695753.170222204,IV1;IV2;year_1;Region_1
M0,3,4,13,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.13397520781449623,357.7240622772847,127966.50473216266,IV1;IV2;year_1;Region_1
M0,3,5,14,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-5.800060294105982,348.07291535919063,121154.75440664629,IV1;IV2;year_1;Region_1
M0,4,1,15,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.011705941554012389,667.0480818475313,444953.1434964709,IV1;IV2;year_1;Region_1
M0,4,2,16,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.09286114108369348,2433.7689088772904,5923231.101817757,IV1;IV2;year_1;Region_1
M0,4,3,17,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.00611729250469728,199.47277697021892,39789.3887522107,IV1;IV2;year_1;Region_1
M0,4,4,18,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-5.478078109796562,281.9477062550112,79494.50906246208,IV1;IV2;year_1;Region_1
M0,4,5,19,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07469423670165254,638.3031098153446,407430.85999993986,IV1;IV2;year_1;Region_1
M0,5,1,20,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.39882529219268137,949.096275475593,900783.7401216426,IV1;IV2;year_1;Region_1
M0,5,2,21,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.5017415987028591,404.12968637865305,163320.80341250848,IV1;IV2;year_1;Region_1
M0,5,3,22,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-8.256618793195914,491.00148426130716,241082.45754680663,IV1;IV2;year_1;Region_1
