city_key,representation,predicted_Dep_reg,pred_rank
万宁,M0,377.3967340684443,10.0
上海,M0,640.0915081470741,6.0
上饶,M0,135.98040648095264,40.0
东方,M0,287.51273636113683,23.0
东莞,M0,722.2841791920364,1.0
东营,M0,297.3263125291971,20.0
中卫,M0,269.71638059183005,29.0
中山,M0,169.10291665474915,39.0
临高,M0,303.8125670676263,18.0
丽水,M0,187.73337637434815,37.0
义乌,M0,696.3990069254138,3.0
乐东,M0,302.31436031297716,19.0
乐山,M0,201.12837999680877,35.0
九江,M0,275.4583232368521,28.0
五指山,M0,319.86135682228877,14.0
佛山,M0,207.53028208587475,33.0
信阳,M0,295.3527043106371,21.0
儋州,M0,321.8267377485487,13.0
六安,M0,268.9876072337194,30.0
兰州,M0,197.21108387593836,36.0
北京,M0,650.0373396862799,5.0
北海,M0,230.05823707076573,32.0
合肥,M0,201.5121324522762,34.0
定安,M0,276.9957147309379,27.0
屯昌,M0,289.53472964728377,22.0
广州,M0,510.7949333008282,7.0
惠州,M0,278.97383698015136,26.0
文昌,M0,312.83620466609733,16.0
昌江,M0,250.9186958307049,31.0
汕头,M0,313.48948020908034,15.0
海口,M0,322.31234362692516,12.0
深圳,M0,685.9663969791211,4.0
清远,M0,284.3820412027284,25.0
澄迈,M0,307.64136041025495,17.0
珠海,M0,714.1577646678022,2.0
琼中,M0,323.06352456216837,11.0
琼海,M0,383.3663634414632,9.0
白沙,M0,286.7779949451076,24.0
肇庆,M0,120.62045981260187,41.0
陵水,M0,389.25696855717285,8.0
韶关,M0,182.35273779550496,38.0
万宁,M1,376.37181050549356,9.0
上海,M1,632.4984072305385,4.0
上饶,M1,178.07590136757685,39.0
东方,M1,293.32765996480987,23.0
东莞,M1,590.2584422071634,5.0
东营,M1,284.5975499994536,26.0
中卫,M1,267.1342946415071,31.0
中山,M1,151.31220197463944,41.0
临高,M1,312.6752591649631,18.0
丽水,M1,218.6563150844986,35.0
义乌,M1,701.2968325884227,2.0
乐东,M1,294.1851299300333,22.0
乐山,M1,198.3151572291122,37.0
九江,M1,273.5534899214322,29.0
五指山,M1,304.038683429455,20.0
佛山,M1,202.8619812787919,36.0
信阳,M1,316.4279309352342,16.0
儋州,M1,324.3934083367362,13.0
六安,M1,270.6827748286692,30.0
兰州,M1,178.6258550655107,38.0
北京,M1,528.1724926828194,6.0
北海,M1,277.2971960678663,28.0
合肥,M1,289.8623971120256,24.0
定安,M1,294.3247603717377,21.0
屯昌,M1,289.5449974327919,25.0
广州,M1,507.640061679954,7.0
惠州,M1,284.5957292263248,27.0
文昌,M1,319.7548931555897,15.0
昌江,M1,261.37578150730246,32.0
汕头,M1,315.25689936209636,17.0
海口,M1,342.44370482432646,11.0
深圳,M1,641.5576525584512,3.0
清远,M1,246.86163898346058,33.0
澄迈,M1,322.4854216234566,14.0
珠海,M1,724.4597899185715,1.0
琼中,M1,327.37601428444003,12.0
琼海,M1,373.54921917638205,10.0
白沙,M1,305.31522119303406,19.0
肇庆,M1,151.70966215552968,40.0
陵水,M1,380.5102418056513,8.0
韶关,M1,234.5241040235878,34.0
万宁,M2,355.6247521855202,11.0
上海,M2,657.4016520004568,4.0
上饶,M2,151.7362054747118,40.0
东方,M2,304.2898144967119,22.0
东莞,M2,569.0521080010528,5.0
东营,M2,275.1504742275113,27.0
中卫,M2,249.2605288594706,31.0
中山,M2,147.00596504573403,41.0
临高,M2,305.80606274400174,18.0
丽水,M2,241.92182025510505,34.0
义乌,M2,701.1806524286031,2.0
乐东,M2,315.2568083526837,14.0
乐山,M2,205.58092193187966,36.0
九江,M2,224.86763665465062,35.0
五指山,M2,320.69041797669416,13.0
佛山,M2,191.2341865546778,37.0
信阳,M2,295.0797372741627,25.0
儋州,M2,326.64250198090303,12.0
六安,M2,262.9479962740127,29.0
兰州,M2,182.8833406990266,38.0
北京,M2,512.6024643032541,7.0
北海,M2,276.1617578652701,26.0
合肥,M2,295.2238308705696,24.0
定安,M2,305.5097790581564,21.0
屯昌,M2,305.6119385439465,20.0
广州,M2,537.0920021329058,6.0
惠州,M2,265.53937353816684,28.0
文昌,M2,305.65580626333167,19.0
昌江,M2,242.73547034990165,33.0
汕头,M2,297.0704687513111,23.0
海口,M2,375.512917547695,10.0
深圳,M2,684.7003996777883,3.0
清远,M2,249.56266287758797,30.0
澄迈,M2,313.29866206654594,15.0
珠海,M2,706.4713105040363,1.0
琼中,M2,312.70145354087356,16.0
琼海,M2,400.047405526654,9.0
白沙,M2,311.88757225173407,17.0
肇庆,M2,165.844039675376,39.0
陵水,M2,409.14879418403615,8.0
韶关,M2,242.9916109752324,32.0
万宁,M3,396.3172659386572,13.0
上海,M3,808.6316495774693,1.0
上饶,M3,271.72467659650476,28.0
东方,M3,306.0778428372063,22.0
东莞,M3,544.1541044959598,5.0
东营,M3,255.78901767971757,32.0
中卫,M3,233.526004278529,34.0
中山,M3,137.43265970200576,41.0
临高,M3,263.13143189572975,29.0
丽水,M3,313.72850618600415,21.0
义乌,M3,753.7436925237616,2.0
乐东,M3,452.72423950382233,10.0
乐山,M3,181.25220711253476,37.0
九江,M3,219.07394176374922,36.0
五指山,M3,347.2344915866451,16.0
佛山,M3,281.45314564539433,27.0
信阳,M3,393.53759241953725,14.0
儋州,M3,324.9684143777661,18.0
六安,M3,499.8380556646052,7.0
兰州,M3,158.5048484256236,40.0
北京,M3,493.8194231871595,8.0
北海,M3,259.5985447300443,31.0
合肥,M3,175.41275610760832,38.0
定安,M3,300.8636793686818,23.0
屯昌,M3,318.3388794879933,20.0
广州,M3,398.113172438239,12.0
惠州,M3,229.56613838207264,35.0
文昌,M3,318.9714136081681,19.0
昌江,M3,262.6541560501305,30.0
汕头,M3,299.19719238904713,24.0
海口,M3,471.64073815884024,9.0
深圳,M3,516.28031601871,6.0
清远,M3,282.1395797236967,26.0
澄迈,M3,291.47495455317863,25.0
珠海,M3,675.350604729615,3.0
琼中,M3,335.735101419745,17.0
琼海,M3,603.0321292482873,4.0
白沙,M3,243.99448401835917,33.0
肇庆,M3,172.26665862294084,39.0
陵水,M3,402.4288524007866,11.0
韶关,M3,375.5829123902155,15.0
万宁,M4,307.7963324101687,18.0
上海,M4,576.2939880058817,5.0
上饶,M4,185.59901010307055,39.0
东方,M4,303.6781578011101,21.0
东莞,M4,627.8484515322839,3.0
东营,M4,306.6683255308031,19.0
中卫,M4,278.7237777806937,30.0
中山,M4,156.7097996379081,41.0
临高,M4,364.2479705993571,12.0
丽水,M4,176.32417730341228,40.0
义乌,M4,704.2307235984347,1.0
乐东,M4,287.92225183535,24.0
乐山,M4,212.5033460452554,35.0
九江,M4,231.8087010738725,34.0
五指山,M4,293.80087381716237,23.0
佛山,M4,279.6198103292187,29.0
信阳,M4,284.4533203720033,26.0
儋州,M4,372.2580897558246,11.0
六安,M4,319.79351981159596,16.0
兰州,M4,266.6536339494498,32.0
北京,M4,574.3874133880774,6.0
北海,M4,259.0740517122614,33.0
合肥,M4,191.5104634788753,38.0
定安,M4,352.68850459332754,14.0
屯昌,M4,281.7613688368737,27.0
广州,M4,403.09474194106065,8.0
惠州,M4,297.5314812814737,22.0
文昌,M4,360.49014668398814,13.0
昌江,M4,316.013770398232,17.0
汕头,M4,304.9196649666933,20.0
海口,M4,340.40800848080744,15.0
深圳,M4,604.2764344916534,4.0
清远,M4,268.2599046290817,31.0
澄迈,M4,375.0630488518225,10.0
珠海,M4,656.0685174511283,2.0
琼中,M4,279.94874591138836,28.0
琼海,M4,452.3130800183025,7.0
白沙,M4,287.19507247136727,25.0
肇庆,M4,211.94438957100922,36.0
陵水,M4,385.173803074554,9.0
韶关,M4,206.5523326017891,37.0
