variable,unit,role,n,n_missing,mean,sd,min,p25,median,p75,max
Dep_reg,CNY/m²,outcome,41,0,534.6632455992026,1183.1261568889886,0.0,83.80276845703128,268.7138254261364,375.720028409091,7288.761349396308
Dep,CNY/m²,outcome,41,0,416.8614597971508,563.1583069523883,14.88989743489175,67.58986445783134,165.161025,498.0937500000001,2507.41989520202
IV1,CNY/m²,contextual covariate,41,0,16342.0,14232.650271470877,4898.0,8030.0,11522.0,18307.0,66494.0
IV2,months,contextual covariate,41,0,50.20523086754036,55.037098127772495,6.4,19.9,26.4,55.7,318.7
IV3,months,descriptive only,41,0,27.247357723577235,0.28712196779459886,27.14166666666667,27.14166666666667,27.14166666666667,27.14166666666667,28.00833333333333
IV4,CNY/m²,excluded (mechanical overlap),41,0,4443.909408894948,6115.973557018029,289.8588013806087,1256.584278768233,2560.10789772308,4281.478884462152,35261.9696969697
PMC_T,index,text measure,41,0,3.6158536585365852,0.9841659696547929,1.766666666666666,3.033333333333333,3.433333333333333,4.116666666666667,6.116666666666667
PMC_I,index,text measure,41,0,4.517479674796748,1.571813139248889,1.766666666666666,3.416666666666667,4.283333333333333,5.25,9.05
PMC_F,index,text measure,41,0,2.885696935044002,1.9650673760177282,0.0,1.522587731073258,2.367693200014442,3.698539678853364,10.0
PMC_BERT,index,text measure,41,0,6.552703363705141,2.520539421651347,0.0,5.103940800290349,7.044585953063184,8.751276882629403,10.0
