repeat,delta_R2,comparison
1,0.006911435157113344,M1 - M0
2,-0.000994967805279634,M1 - M0
3,0.0024601424457484367,M1 - M0
4,-0.01237764122446694,M1 - M0
5,0.006357435719610116,M1 - M0
6,-0.0019097473664335674,M1 - M0
7,-0.004121986638197406,M1 - M0
8,-0.00591475460251889,M1 - M0
9,-0.004551119456059238,M1 - M0
10,0.006530554209260631,M1 - M0
11,0.0015217172885664265,M1 - M0
12,-0.001431298382547519,M1 - M0
13,-0.002239185564921975,M1 - M0
14,0.0005504133180389559,M1 - M0
15,0.009345121803401524,M1 - M0
16,0.002133117105930449,M1 - M0
17,3.1159387725132603e-05,M1 - M0
18,0.0029167028335259637,M1 - M0
19,-0.0064290436653006156,M1 - M0
20,9.1311605092681e-06,M1 - M0
1,0.005916101316671973,M2 - M0
2,0.0009248183677867949,M2 - M0
3,0.007476489928456287,M2 - M0
4,-0.01590790774290385,M2 - M0
5,0.007487010869467126,M2 - M0
6,-0.0032824032613461007,M2 - M0
7,-0.007411064361111164,M2 - M0
8,-0.004971610028154272,M2 - M0
9,-0.002353377521083333,M2 - M0
10,0.010217970918342312,M2 - M0
11,-0.002561323365466217,M2 - M0
12,-0.0022164477779285097,M2 - M0
13,-0.002906279503641196,M2 - M0
14,-0.0029127559720560914,M2 - M0
15,0.011400904395584721,M2 - M0
16,-0.0019111027379619117,M2 - M0
17,-0.0006170352684982117,M2 - M0
18,0.006206801388286776,M2 - M0
19,-0.008242319134180609,M2 - M0
20,8.950010781050288e-05,M2 - M0
1,0.018815735569454484,M3 - M0
2,0.0216159043914943,M3 - M0
3,0.02265450413795156,M3 - M0
4,-0.003761759648709284,M3 - M0
5,0.03096896763207213,M3 - M0
6,0.009297736938222778,M3 - M0
7,0.010219364521254937,M3 - M0
8,0.01747079670930929,M3 - M0
9,-0.007031856821345883,M3 - M0
10,0.005945939951037538,M3 - M0
11,-0.00899588057554812,M3 - M0
12,0.008510476482616047,M3 - M0
13,0.015409184045079405,M3 - M0
14,0.010022645537356434,M3 - M0
15,0.025723245784346593,M3 - M0
16,0.030467943117640894,M3 - M0
17,0.012215394730251683,M3 - M0
18,0.015363609470298911,M3 - M0
19,-0.008920698973240548,M3 - M0
20,0.01578932778209774,M3 - M0
1,-0.002828583405428242,M4 - M0
2,0.005262976271458886,M4 - M0
3,0.009812796319513817,M4 - M0
4,-0.005808668360200886,M4 - M0
5,0.019128929288065644,M4 - M0
6,0.0003350287879868574,M4 - M0
7,0.003514961499841318,M4 - M0
8,-0.0017389882116303212,M4 - M0
9,-0.00065450511346965,M4 - M0
10,-0.0019583987865348096,M4 - M0
11,-0.00423310546714184,M4 - M0
12,-0.013704638469444586,M4 - M0
13,-0.0009206660321914306,M4 - M0
14,-0.007552297440370781,M4 - M0
15,0.012804026840601779,M4 - M0
16,-0.0017453930869437695,M4 - M0
17,0.008704902113350954,M4 - M0
18,-0.0025265011602217946,M4 - M0
19,-0.014681808933687424,M4 - M0
20,0.003605732082156088,M4 - M0
