representation_a,representation_b,kendall,q025,q975,n_boot
M0,M1,0.8463414634146341,0.7608945779028389,0.9122807017543859,2000
M0,M2,0.8097560975609757,0.7153562659415985,0.8887519314510466,2000
M0,M3,0.621951219512195,0.4641218247674061,0.7666321544136375,2000
M0,M4,0.7170731707317073,0.5712425312393594,0.8256782824458532,2000
M1,M2,0.875609756097561,0.7805724401874706,0.9423576933572979,2000
M1,M3,0.6048780487804878,0.42460359589041097,0.7550166876574307,2000
M1,M4,0.7,0.5519574900428252,0.8179577060108034,2000
M2,M3,0.6414634146341462,0.46933281381601216,0.7797315394242803,2000
M2,M4,0.6926829268292682,0.5480282832856914,0.8077849117174957,2000
M3,M4,0.5634146341463415,0.3871323832276135,0.7121581439970999,2000
