variable,value
PMC-T,3.15
PMC-T,3.083333333333333
PMC-T,3.45
PMC-T,2.55
PMC-T,6.116666666666667
PMC-T,5.183333333333334
PMC-T,5.783333333333333
PMC-T,4.883333333333334
PMC-T,3.083333333333333
PMC-T,2.683333333333333
PMC-T,3.383333333333333
PMC-T,2.216666666666667
PMC-T,4.55
PMC-T,3.816666666666666
PMC-T,2.416666666666667
PMC-T,4.483333333333333
PMC-T,3.283333333333333
PMC-T,2.883333333333333
PMC-T,3.483333333333333
PMC-T,4.883333333333333
PMC-T,5.25
PMC-T,3.416666666666667
PMC-T,3.416666666666667
PMC-T,3.116666666666667
PMC-T,2.416666666666667
PMC-T,2.75
PMC-T,3.816666666666667
PMC-T,4.116666666666667
PMC-T,3.783333333333333
PMC-T,3.85
PMC-T,2.4
PMC-T,1.766666666666666
PMC-T,4.716666666666667
PMC-T,3.816666666666667
PMC-T,3.416666666666667
PMC-T,4.083333333333334
PMC-T,2.683333333333333
PMC-T,3.033333333333333
PMC-T,4.15
PMC-T,3.45
PMC-T,3.433333333333333
PMC-I,4.683333333333334
PMC-I,3.416666666666667
PMC-I,4.850000000000001
PMC-I,4.016666666666667
PMC-I,9.05
PMC-I,6.316666666666666
PMC-I,6.383333333333333
PMC-I,7.716666666666666
PMC-I,4.083333333333333
PMC-I,3.083333333333333
PMC-I,4.033333333333333
PMC-I,2.216666666666667
PMC-I,5.083333333333333
PMC-I,6.683333333333334
PMC-I,2.75
PMC-I,6.583333333333334
PMC-I,4.15
PMC-I,3.75
PMC-I,4.35
PMC-I,6.216666666666667
PMC-I,6.916666666666666
PMC-I,3.416666666666667
PMC-I,4.0
PMC-I,3.45
PMC-I,2.75
PMC-I,3.083333333333333
PMC-I,5.816666666666667
PMC-I,4.783333333333333
PMC-I,4.45
PMC-I,5.25
PMC-I,2.733333333333333
PMC-I,1.766666666666666
PMC-I,6.116666666666667
PMC-I,4.35
PMC-I,4.283333333333333
PMC-I,4.816666666666666
PMC-I,2.683333333333333
PMC-I,3.033333333333333
PMC-I,4.483333333333333
PMC-I,3.783333333333333
PMC-I,3.833333333333333
PMC-Frequency,1.543829048165578
PMC-Frequency,1.277805624608178
PMC-Frequency,1.329863692937047
PMC-Frequency,1.971326722895717
PMC-Frequency,6.202943225343957
PMC-Frequency,10.0
PMC-Frequency,4.01954787841474
PMC-Frequency,5.08952154988603
PMC-Frequency,3.048525899910616
PMC-Frequency,1.355149227925855
PMC-Frequency,1.410579879645822
PMC-Frequency,1.30735432004383
PMC-Frequency,3.842251125357909
PMC-Frequency,6.423386721381466
PMC-Frequency,1.527694655660455
PMC-Frequency,1.916969156763082
PMC-Frequency,1.406045858762816
PMC-Frequency,2.496959245944589
PMC-Frequency,0.5964556300449908
PMC-Frequency,4.266702205764764
PMC-Frequency,6.430824304428928
PMC-Frequency,2.499707941893676
PMC-Frequency,3.698539678853364
PMC-Frequency,1.625777890790961
PMC-Frequency,1.522587731073258
PMC-Frequency,3.129459951807051
PMC-Frequency,5.26824991794741
PMC-Frequency,2.367693200014442
PMC-Frequency,2.367693200014442
PMC-Frequency,2.676565388670956
PMC-Frequency,1.336909975919951
PMC-Frequency,5.501178699134053
PMC-Frequency,2.181213517969367
PMC-Frequency,2.955799736451313
PMC-Frequency,2.214714232776684
PMC-Frequency,1.729744670947764
PMC-Frequency,0.0
PMC-Frequency,3.535771152486833
PMC-Frequency,2.626298562678793
PMC-Frequency,2.308140060014758
PMC-Frequency,1.303792853472635
PMC-BERT,9.152043687982058
PMC-BERT,8.046932499290568
PMC-BERT,5.230911696132671
PMC-BERT,6.243487804466905
PMC-BERT,8.447453512937065
PMC-BERT,6.859361549631319
PMC-BERT,7.044585953063184
PMC-BERT,9.358162430559181
PMC-BERT,0.0
PMC-BERT,9.925667245812377
PMC-BERT,5.103940800290349
PMC-BERT,7.713603783701799
PMC-BERT,8.751177031531183
PMC-BERT,9.356894370695171
PMC-BERT,8.751276882629403
PMC-BERT,5.355749524893052
PMC-BERT,8.841878724993672
PMC-BERT,2.84725519779309
PMC-BERT,3.159309652178145
PMC-BERT,3.138980252532324
PMC-BERT,7.100253537460678
PMC-BERT,5.313945890725441
PMC-BERT,9.585215341295184
PMC-BERT,2.986646346160663
PMC-BERT,8.83235305074328
PMC-BERT,9.396313078597183
PMC-BERT,5.946432585843382
PMC-BERT,4.380770071455101
PMC-BERT,4.380770071455101
PMC-BERT,8.125225180633157
PMC-BERT,5.993016778547015
PMC-BERT,7.079110843068801
PMC-BERT,7.750220695846085
PMC-BERT,1.521255955870113
PMC-BERT,6.658413805613863
PMC-BERT,10.0
PMC-BERT,3.670486372113607
PMC-BERT,8.149237562457332
PMC-BERT,3.745354191148832
PMC-BERT,5.93449613181308
PMC-BERT,8.782647819949394
