model,city_tier,feature,mean_abs_SHAP,signed_mean_SHAP,n_cities,exploratory_only
B1,一线,IV1,236.6327756904535,236.6327756904535,4,True
B1,一线,IV2,10.071818438042325,-6.302023847376376,4,True
B1,一线,year_1,31.58459816594059,-14.85565267984537,4,True
B1,一线,Region_1,6.779065271766073,6.779065271766073,4,True
B1,一线,PMC_T,6.504852277902933,0.8600394350094687,4,True
B1,一线,PMC_I,28.931343994043015,8.36105538220637,4,True
B1,一线,PMC_Frequency,121.2323002087324,-6.991070589410029,4,True
B1,一线,PMC_BERT,11.598178232850556,-11.400906333004396,4,True
B1,三线,IV1,59.24985716837728,-58.91504669380482,24,True
B1,三线,IV2,14.466298008671146,5.556148107733911,24,True
B1,三线,year_1,18.8582292879022,11.603129087631109,24,True
B1,三线,Region_1,3.396432437869766,-3.396432437869766,24,True
B1,三线,PMC_T,5.16475011982166,2.1015402099084897,24,True
B1,三线,PMC_I,12.36952550227002,4.92350069720568,24,True
B1,三线,PMC_Frequency,59.47491805835195,8.494963496185216,24,True
B1,三线,PMC_BERT,21.822341975287866,7.285170023497103,24,True
B1,二线,IV1,92.90964626086557,26.205134041916114,13,True
B1,二线,IV2,10.827237505830977,-2.952876805504407,13,True
B1,二线,year_1,32.22019597208927,-12.907207783994236,13,True
B1,二线,Region_1,4.544029279079492,4.482297252684873,13,True
B1,二线,PMC_T,8.254233741999375,0.2533632903885662,13,True
B1,二线,PMC_I,20.931152401266033,-6.54448800251608,13,True
B1,二线,PMC_Frequency,58.09277847579562,-29.05807057080059,13,True
B1,二线,PMC_BERT,18.79870708012726,-1.7186917194237095,13,True
B2,一线,IV1,113.9454097381495,113.9454097381495,4,True
B2,一线,IV2,7.1923486614627645,-4.364769674452626,4,True
B2,一线,year_1,24.934843520417566,-11.727270745908386,4,True
B2,一线,Region_1,0.6949084970499455,0.16494057474600377,4,True
B2,一线,PMC_T,3.5481691080312383,0.749888511695295,4,True
B2,一线,PMC_I,12.726219616287228,4.268991639727007,4,True
B2,一线,PMC_Frequency,79.82303072685397,3.3771569494222327,4,True
B2,一线,PMC_BERT,7.9982656759075414,-7.9982656759075414,4,True
B2,一线,IV1_x_PMC_T,116.02847349935868,116.02847349935868,4,True
B2,一线,IV1_x_PMC_I,138.60376858037816,138.60376858037816,4,True
B2,一线,IV1_x_PMC_Frequency,6.399240095643933,6.399240095643933,4,True
B2,一线,IV1_x_PMC_BERT,39.339844186183925,39.339844186183925,4,True
B2,一线,IV2_x_PMC_T,2.7466448117271263,-0.9280837660185902,4,True
B2,一线,IV2_x_PMC_I,1.583350664246961,-1.5139310237065997,4,True
B2,一线,IV2_x_PMC_Frequency,24.912853457331185,-0.4546798995886938,4,True
B2,一线,IV2_x_PMC_BERT,9.091663462730082,9.091663462730082,4,True
B2,三线,IV1,25.117556637699266,-24.64573706152825,24,True
B2,三线,IV2,8.631173024981676,2.988156964102519,24,True
B2,三线,year_1,13.464655145389145,7.983367110121193,24,True
B2,三线,Region_1,0.7192299230959801,0.7192299230959801,24,True
B2,三线,PMC_T,3.288237953356711,1.3329292701225113,24,True
B2,三线,PMC_I,5.658087916210538,2.9750364080848857,24,True
B2,三线,PMC_Frequency,43.47257915088528,6.287601945895822,24,True
B2,三线,PMC_BERT,14.262955449996175,5.57731744326458,24,True
B2,三线,IV1_x_PMC_T,27.836461638109487,-27.836461638109487,24,True
B2,三线,IV1_x_PMC_I,43.515339601898155,-43.515339601898155,24,True
B2,三线,IV1_x_PMC_Frequency,7.442285811558481,0.9920244127321993,24,True
B2,三线,IV1_x_PMC_BERT,9.61532581482118,-8.32844514822992,24,True
B2,三线,IV2_x_PMC_T,5.759439805871228,3.5402428456487836,24,True
B2,三线,IV2_x_PMC_I,2.375170331752765,0.5826296893567388,24,True
B2,三线,IV2_x_PMC_Frequency,23.99647085069489,4.363279602310777,24,True
B2,三线,IV2_x_PMC_BERT,18.45666470261855,-1.2838414247809347,24,True
B2,二线,IV1,42.13918913134066,12.513984868172617,13,True
B2,二线,IV2,6.740160177896841,-3.2731683314659388,13,True
B2,二线,year_1,23.361523415206303,-9.476096867988277,13,True
B2,二线,Region_1,2.8750011775027486,-2.8750011775027486,13,True
B2,二线,PMC_T,4.760879629027447,0.11512002039404226,13,True
B2,二线,PMC_I,9.266540829045171,-2.678308343554701,13,True
B2,二线,PMC_Frequency,37.81431409267128,-21.209015974077094,13,True
B2,二线,PMC_BERT,14.239830567210117,-0.8592806964006344,13,True
B2,二线,IV1_x_PMC_T,40.95776724528467,14.008097636890518,13,True
B2,二线,IV1_x_PMC_I,75.22913631952461,22.722354717014014,13,True
B2,二线,IV1_x_PMC_Frequency,3.618092781430162,-0.9921287740532185,13,True
B2,二线,IV1_x_PMC_BERT,17.71139715784848,6.3607941490552244,13,True
B2,二线,IV2_x_PMC_T,4.797718247508515,-1.1462723457299953,13,True
B2,二线,IV2_x_PMC_I,1.6222885125069086,-0.6916951623912231,13,True
B2,二线,IV2_x_PMC_Frequency,27.698562543311898,7.615385933136961,13,True
B2,二线,IV2_x_PMC_BERT,16.013593963798037,1.0359352197466942,13,True
