subset,subset_size,features,n_features,rf_param_hash,R2_mean,R2_sd,R2_min,R2_max,cv_protocol,seed,interpretation_scope
EMPTY,0,IV1;IV2;year_1;Region_1,4,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.039933607539578156,0.028974192774280275,-0.10282662257228314,0.006918102840737128,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_T,1,IV1;IV2;year_1;Region_1;PMC_T,5,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.03999374825339293,0.02634449493403079,-0.09348150076888162,-0.005459538383730145,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_I,1,IV1;IV2;year_1;Region_1;PMC_I,5,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.04021230900867442,0.02453726449793081,-0.09142571817669842,-0.008109125656831306,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_Frequency,1,IV1;IV2;year_1;Region_1;PMC_Frequency,5,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.027844578500496132,0.026088729014187004,-0.09404649888313399,0.005067091038596483,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_BERT,1,IV1;IV2;year_1;Region_1;PMC_BERT,5,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.03969281760279264,0.023797478108187897,-0.09002259573168114,0.0011094344805362422,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_T|PMC_I,2,IV1;IV2;year_1;Region_1;PMC_T;PMC_I,6,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.03446786383547518,0.032207639915455256,-0.1017050521836751,0.010776300822424978,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_T|PMC_Frequency,2,IV1;IV2;year_1;Region_1;PMC_T;PMC_Frequency,6,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.021205465947373426,0.03329824131091077,-0.10231468921683318,0.014429401751618998,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_T|PMC_BERT,2,IV1;IV2;year_1;Region_1;PMC_T;PMC_BERT,6,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.03180043305489855,0.03253396716032284,-0.1007495981379174,0.016983067247497652,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_I|PMC_Frequency,2,IV1;IV2;year_1;Region_1;PMC_I;PMC_Frequency,6,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.023084090895068056,0.032155117332080554,-0.10233016273915019,0.011459140012386682,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_I|PMC_BERT,2,IV1;IV2;year_1;Region_1;PMC_I;PMC_BERT,6,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.032778441440829434,0.030694774583669517,-0.10109420808054503,0.012845656147068896,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_Frequency|PMC_BERT,2,IV1;IV2;year_1;Region_1;PMC_Frequency;PMC_BERT,6,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.022877043275968324,0.03308454162966247,-0.10116116942938902,0.02383116165839938,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_T|PMC_I|PMC_Frequency,3,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency,7,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.021999023074281303,0.030478500417769196,-0.10137038642373208,0.01209012452681757,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_T|PMC_I|PMC_BERT,3,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_BERT,7,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.03316712401092598,0.029107649900678063,-0.0956936743274428,0.005758162228014507,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_T|PMC_Frequency|PMC_BERT,3,IV1;IV2;year_1;Region_1;PMC_T;PMC_Frequency;PMC_BERT,7,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.022959724075820892,0.029969884321389362,-0.10274780136748296,0.007544867349977502,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_I|PMC_Frequency|PMC_BERT,3,IV1;IV2;year_1;Region_1;PMC_I;PMC_Frequency;PMC_BERT,7,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.02467913567208383,0.029041344967015808,-0.1013422001920039,0.005278536789899646,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
PMC_T|PMC_I|PMC_Frequency|PMC_BERT,4,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.027582519547342404,0.031109730684729345,-0.11360639939204042,0.0047806603147877436,RepeatedKFold(5x20),42,order-independent predictive decomposition; not causal
