repeat,fold,split_id,city_position,city_key,n_train,n_valid
1,1,0,4,东莞,32,9
1,1,0,8,临高,32,9
1,1,0,13,九江,32,9
1,1,0,19,兰州,32,9
1,1,0,24,屯昌,32,9
1,1,0,25,广州,32,9
1,1,0,29,汕头,32,9
1,1,0,39,陵水,32,9
1,1,0,40,韶关,32,9
1,2,1,6,中卫,33,8
1,2,1,9,丽水,33,8
1,2,1,12,乐山,33,8
1,2,1,15,佛山,33,8
1,2,1,16,信阳,33,8
1,2,1,17,儋州,33,8
1,2,1,26,惠州,33,8
1,2,1,32,清远,33,8
1,3,2,0,万宁,33,8
1,3,2,1,上海,33,8
1,3,2,5,东营,33,8
1,3,2,11,乐东,33,8
1,3,2,27,文昌,33,8
1,3,2,30,海口,33,8
1,3,2,34,珠海,33,8
1,3,2,35,琼中,33,8
1,4,3,2,上饶,33,8
1,4,3,3,东方,33,8
1,4,3,21,北海,33,8
1,4,3,23,定安,33,8
1,4,3,31,深圳,33,8
1,4,3,33,澄迈,33,8
1,4,3,36,琼海,33,8
1,4,3,37,白沙,33,8
1,5,4,7,中山,33,8
1,5,4,10,义乌,33,8
1,5,4,14,五指山,33,8
1,5,4,18,六安,33,8
1,5,4,20,北京,33,8
1,5,4,22,合肥,33,8
1,5,4,28,昌江,33,8
1,5,4,38,肇庆,33,8
2,1,5,0,万宁,32,9
2,1,5,4,东莞,32,9
2,1,5,10,义乌,32,9
2,1,5,12,乐山,32,9
2,1,5,18,六安,32,9
2,1,5,23,定安,32,9
2,1,5,26,惠州,32,9
2,1,5,28,昌江,32,9
2,1,5,34,珠海,32,9
2,2,6,5,东营,33,8
2,2,6,9,丽水,33,8
2,2,6,15,佛山,33,8
2,2,6,21,北海,33,8
2,2,6,22,合肥,33,8
2,2,6,31,深圳,33,8
2,2,6,32,清远,33,8
2,2,6,36,琼海,33,8
2,3,7,2,上饶,33,8
2,3,7,16,信阳,33,8
2,3,7,20,北京,33,8
2,3,7,29,汕头,33,8
2,3,7,33,澄迈,33,8
2,3,7,35,琼中,33,8
2,3,7,37,白沙,33,8
2,3,7,39,陵水,33,8
2,4,8,1,上海,33,8
2,4,8,6,中卫,33,8
2,4,8,7,中山,33,8
2,4,8,11,乐东,33,8
2,4,8,14,五指山,33,8
2,4,8,19,兰州,33,8
2,4,8,27,文昌,33,8
2,4,8,30,海口,33,8
2,5,9,3,东方,33,8
2,5,9,8,临高,33,8
2,5,9,13,九江,33,8
2,5,9,17,儋州,33,8
2,5,9,24,屯昌,33,8
2,5,9,25,广州,33,8
2,5,9,38,肇庆,33,8
2,5,9,40,韶关,33,8
3,1,10,1,上海,32,9
3,1,10,3,东方,32,9
3,1,10,5,东营,32,9
3,1,10,13,九江,32,9
3,1,10,21,北海,32,9
3,1,10,22,合肥,32,9
3,1,10,31,深圳,32,9
3,1,10,38,肇庆,32,9
3,1,10,40,韶关,32,9
3,2,11,4,东莞,33,8
