city_key,city,Region,year,policy_text_source
万宁,万宁,三线,2023,data/policies_text.xlsx
上海,上海,一线,2019,data/policies_text.xlsx
上饶,上饶,三线,2021,data/policies_text.xlsx
东方,东方,三线,2022,data/policies_text.xlsx
东莞,东莞,二线,2022,data/policies_text.xlsx
东营,东营,三线,2023,data/policies_text.xlsx
中卫,中卫,三线,2023,data/policies_text.xlsx
中山,中山,二线,2021,data/policies_text.xlsx
临高,临高,三线,2023,data/policies_text.xlsx
丽水,丽水,二线,2021,data/policies_text.xlsx
义乌,义乌,二线,2022,data/policies_text.xlsx
乐东,乐东,三线,2022,data/policies_text.xlsx
乐山,乐山,三线,2022,data/policies_text.xlsx
九江,九江,二线,2023,data/policies_text.xlsx
五指山,五指山,三线,2022,data/policies_text.xlsx
佛山,佛山,二线,2020,data/policies_text.xlsx
信阳,信阳,三线,2022,data/policies_text.xlsx
儋州,儋州,三线,2023,data/policies_text.xlsx
六安,六安,三线,2023,data/policies_text.xlsx
兰州,兰州,二线,2021,data/policies_text.xlsx
北京,北京,一线,2022,data/policies_text.xlsx
北海,北海,三线,2023,data/policies_text.xlsx
合肥,合肥,二线,2021,data/policies_text.xlsx
定安,定安,三线,2022,data/policies_text.xlsx
屯昌,屯昌县,三线,2022,data/policies_text.xlsx
广州,广州,一线,2021,data/policies_text.xlsx
惠州,惠州,二线,2022,data/policies_text.xlsx
文昌,文昌,三线,2023,data/policies_text.xlsx
昌江,昌江,三线,2022,data/policies_text.xlsx
汕头,汕头,二线,2024,data/policies_text.xlsx
海口,海口,二线,2023,data/policies_text.xlsx
深圳,深圳,一线,2023,data/policies_text.xlsx
清远,清远,三线,2023,data/policies_text.xlsx
澄迈,澄迈,三线,2023,data/policies_text.xlsx
珠海,珠海,二线,2023,data/policies_text.xlsx
琼中,琼中,三线,2023,data/policies_text.xlsx
琼海,琼海,三线,2022,data/policies_text.xlsx
白沙,白沙,三线,2023,data/policies_text.xlsx
肇庆,肇庆,二线,2020,data/policies_text.xlsx
陵水,陵水,三线,2024,data/policies_text.xlsx
韶关,韶关,三线,2019,data/policies_text.xlsx
