model,reference,features,what_it_tests,expected_if_component_matters,n_features,cv_protocol,seed,interpretation_scope,rf_param_hash,R2_mean,R2_sd,R2_min,R2_max,R2_oof_mean,R2_oof_sd,R2_fold_mean,R2_fold_sd,R2_fold_min,R2_fold_max,RMSE_mean,RMSE_sd,MSE_mean,n_repeats,n_splits,reference_registry,what_it_tests_registry,expected_if_component_matters_registry,features_registry
M0_full,M0_full,IV1;IV2;year_1;Region_1,baseline anchor,reference only,4,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0399336075395781,0.0289741927742802,-0.1028266225722831,0.0069181028407371,-0.0399336075395781,0.0289741927742802,-0.924565304325006,1.858613391668902,-9.420204515340032,0.4019115821613163,862.1094411492979,818.8324311551694,1407014.3733271256,20,100,M0_full,baseline anchor,reference only,IV1;IV2;year_1;Region_1
M0_no_IV1,M0_full,IV2;year_1;Region_1,housing-price context contribution,dropping IV1 changes paired OOF R²,3,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0758445089034507,0.0046387685361391,-0.0834853691282473,-0.0679177380083131,-0.0758445089034507,0.0046387685361391,-0.3484410993951036,0.7153477595516493,-6.186809567182709,0.2297305441115588,855.2336964810291,855.3427262157352,1455719.7430938694,20,100,M0_full,housing-price context contribution,dropping IV1 changes paired OOF R²,IV2;year_1;Region_1
M0_no_IV2,M0_full,IV1;year_1;Region_1,absorption-period context contribution,dropping IV2 changes paired OOF R²,3,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0412052268878058,0.0241178174207424,-0.0896900530577082,-0.0035196271022253,-0.0412052268878058,0.0241178174207424,-0.566675117432015,1.118776747590959,-5.535821944159024,0.2769143823624714,851.4302423688407,831.0374250855189,1408650.4274941047,20,100,M0_full,absorption-period context contribution,dropping IV2 changes paired OOF R²,IV1;year_1;Region_1
M0_controls_only,M0_full,year_1;Region_1,market-context block versus fixed controls,context-only difference is descriptive,2,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0737145595417633,0.0053873104625558,-0.0869526173251313,-0.0637091379449106,-0.0737145595417633,0.0053873104625558,-0.2488835368792364,0.4815392131461031,-4.120571596349912,0.2917263563801044,851.4313391957246,857.4475163687937,1452799.4062583672,20,100,M0_full,market-context block versus fixed controls,context-only difference is descriptive,year_1;Region_1
B1_full,B1_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT,full PMC block anchor,reference only,8,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0275825195473424,0.0311097306847293,-0.1136063993920404,0.0047806603147877,-0.0275825195473424,0.0311097306847293,-1.1475086850960574,2.135403825023844,-10.919559756901457,0.1697597968135935,865.8489018312152,804.6091966413068,1390616.3205288933,20,100,B1_full,full PMC block anchor,reference only,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT
B1_no_PMC_T,B1_full,IV1;IV2;year_1;Region_1;PMC_I;PMC_Frequency;PMC_BERT,single PMC removal: PMC_T,removing PMC_T changes the block-level OOF distribution,7,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0246791356720838,0.0290413449670158,-0.1013422001920039,0.0052785367898996,-0.0246791356720838,0.0290413449670158,-1.0286559052706152,1.9915185926854708,-10.04507754771651,0.2118587542755503,859.3462063700023,809.1155796661595,1386597.2434484349,20,100,B1_full,single PMC removal: PMC_T,removing PMC_T changes the block-level OOF distribution,IV1;IV2;year_1;Region_1;PMC_I;PMC_Frequency;PMC_BERT
B1_no_PMC_I,B1_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_Frequency;PMC_BERT,single PMC removal: PMC_I,removing PMC_I changes the block-level OOF distribution,7,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0229597240758208,0.0299698843213893,-0.1027478013674829,0.0075448673499775,-0.0229597240758208,0.0299698843213893,-1.0337324625062394,2.0299191368216025,-10.23522864202604,0.2165442740182038,858.8847979950631,808.1252826167257,1384218.9039073396,20,100,B1_full,single PMC removal: PMC_I,removing PMC_I changes the block-level OOF distribution,IV1;IV2;year_1;Region_1;PMC_T;PMC_Frequency;PMC_BERT
B1_no_PMC_Frequency,B1_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_BERT,single PMC removal: PMC_Frequency,removing PMC_Frequency changes the block-level OOF distribution,7,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0331671240109259,0.029107649900678,-0.0956936743274428,0.0057581622280145,-0.0331671240109259,0.029107649900678,-1.0475158795044228,2.230476160860883,-12.964724001072112,0.3378964121485822,863.1716626892,812.1155132925625,1398001.6101307755,20,100,B1_full,single PMC removal: PMC_Frequency,removing PMC_Frequency changes the block-level OOF distribution,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_BERT
B1_no_PMC_BERT,B1_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency,single PMC removal: PMC_BERT,removing PMC_BERT changes the block-level OOF distribution,7,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0219990230742813,0.0304785004177691,-0.101370386423732,0.0120901245268175,-0.0219990230742813,0.0304785004177691,-1.0955488854261544,2.1859426714697845,-12.36209022704494,0.3429415970636149,858.8435914666159,807.4128038890661,1383008.5961284386,20,100,B1_full,single PMC removal: PMC_BERT,removing PMC_BERT changes the block-level OOF distribution,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency
B2_full,B2_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV1_x_PMC_T;IV1_x_PMC_I;IV1_x_PMC_Frequency;IV1_x_PMC_BERT;IV2_x_PMC_T;IV2_x_PMC_I;IV2_x_PMC_Frequency;IV2_x_PMC_BERT,full predeclared interaction block anchor,reference only,16,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0340731753108362,0.0404801831576751,-0.1334192119927764,0.025059400845981,-0.0340731753108362,0.0404801831576751,-1.8788553545448143,3.7000627811547937,-19.69536351385649,0.2426782184544736,890.3637171206066,783.0394495127041,1399766.8204630506,20,100,B2_full,full predeclared interaction block anchor,reference only,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV1_x_PMC_T;IV1_x_PMC_I;IV1_x_PMC_Frequency;IV1_x_PMC_BERT;IV2_x_PMC_T;IV2_x_PMC_I;IV2_x_PMC_Frequency;IV2_x_PMC_BERT
B2_no_interactions,B2_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT,all IV×PMC interaction block,B2 should differ from B1 only if interaction block adds predictive information,8,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0275825195473424,0.0311097306847293,-0.1136063993920404,0.0047806603147877,-0.0275825195473424,0.0311097306847293,-1.1475086850960574,2.135403825023844,-10.919559756901457,0.1697597968135935,865.8489018312152,804.6091966413068,1390616.3205288933,20,100,B2_full,all IV×PMC interaction block,B2 should differ from B1 only if interaction block adds predictive information,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT
B2_no_IV1_interactions,B2_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV2_x_PMC_T;IV2_x_PMC_I;IV2_x_PMC_Frequency;IV2_x_PMC_BERT,housing-price interaction subset,deleting IV1 interactions changes B2 OOF output,12,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0330278987136025,0.0334991110854184,-0.1285941458213264,0.0043359432378157,-0.0330278987136025,0.0334991110854184,-1.4062622237583984,2.5639205133970795,-12.9999222143412,0.1779438398109294,877.161072152978,796.9827847878306,1398241.290156246,20,100,B2_full,housing-price interaction subset,deleting IV1 interactions changes B2 OOF output,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV2_x_PMC_T;IV2_x_PMC_I;IV2_x_PMC_Frequency;IV2_x_PMC_BERT
B2_no_IV2_interactions,B2_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV1_x_PMC_T;IV1_x_PMC_I;IV1_x_PMC_Frequency;IV1_x_PMC_BERT,absorption-period interaction subset,deleting IV2 interactions changes B2 OOF output,12,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.027024652263855,0.040520715796834,-0.1166935959613739,0.0261743041961929,-0.027024652263855,0.040520715796834,-1.7622479963020796,3.5458044218519644,-19.470099646592832,0.2435483545825917,882.7986999332832,785.4932211789761,1390163.1491168374,20,100,B2_full,absorption-period interaction subset,deleting IV2 interactions changes B2 OOF output,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV1_x_PMC_T;IV1_x_PMC_I;IV1_x_PMC_Frequency;IV1_x_PMC_BERT
