model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
M0_full,1,1,0,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.192018306684517,383.5930588995974,147143.63483595
M0_full,1,2,1,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.31587210835318813,207.00688514731817,42851.85049839498
M0_full,1,3,2,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3144429764159693,856.6416977312035,733834.9982917988
M0_full,1,4,3,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.41549696394127533,593.0364607343198,351692.24376028846
M0_full,1,5,4,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.057681521267838765,2434.9788268805023,5929121.8873563465
M0_full,2,1,5,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.14341503013231027,2374.8510680067243,5639917.595212679
M0_full,2,2,6,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.28011926293839506,595.9009880912788,355097.98760816234
M0_full,2,3,7,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.641613557918485,387.1162265427867,149858.97285272615
M0_full,2,4,8,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.04633966921904897,702.6242059189411,493680.7747432225
M0_full,2,5,9,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.0391906899954395,286.13951876260614,81875.82419769584
M0_full,3,1,10,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.08572592192941664,649.6583800704204,422056.0107957229
