comparison,median_delta_R2,mean_delta_R2,q025,q975,n_repeats
M0_no_IV1 - M0_full,-0.041361715063927385,-0.03591090136387249,-0.054257308224488265,-0.022115200856342332,20
M0_no_IV2 - M0_full,-0.0036263166589974305,-0.0012716193482276207,-0.006010669117520123,0.0006736046491963021,20
M0_controls_only - M0_full,-0.04139302406842171,-0.03378095200218511,-0.04472616880285607,-0.027141586454195732,20
B1_no_PMC_T - B1_full,0.0015070585681662974,0.0029033838752585196,0.00019137305478232478,0.005146766307422723,20
B1_no_PMC_I - B1_full,0.0030044184864236323,0.004622795471521501,0.0014586500914164358,0.007679374637044045,20
B1_no_PMC_Frequency - B1_full,-0.008978263470596382,-0.0055846044635836254,-0.01176465697924084,-0.002855845847846039,20
B1_no_PMC_BERT - B1_full,0.005530665824997616,0.005583496473061028,0.0041113098972354045,0.008366542420499612,20
B2_no_interactions - B2_full,0.007714707331307746,0.006490655763493847,0.0011639385603785524,0.011372072438047831,20
B2_no_IV1_interactions - B2_full,0.0016167149070742681,0.0010452765972337019,-0.005498059810457254,0.009308295533444366,20
B2_no_IV2_interactions - B2_full,0.009213384059322982,0.00704852304698122,-0.0010097744008901177,0.011534941018550682,20
