model,reference,what_it_tests,expected_if_component_matters,features
M0_full,M0_full,baseline anchor,reference only,IV1;IV2;year_1;Region_1
M0_no_IV1,M0_full,housing-price context contribution,dropping IV1 changes paired OOF R²,IV2;year_1;Region_1
M0_no_IV2,M0_full,absorption-period context contribution,dropping IV2 changes paired OOF R²,IV1;year_1;Region_1
M0_controls_only,M0_full,market-context block versus fixed controls,context-only difference is descriptive,year_1;Region_1
B1_full,B1_full,full PMC block anchor,reference only,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT
B1_no_PMC_T,B1_full,single PMC removal: PMC_T,removing PMC_T changes the block-level OOF distribution,IV1;IV2;year_1;Region_1;PMC_I;PMC_Frequency;PMC_BERT
B1_no_PMC_I,B1_full,single PMC removal: PMC_I,removing PMC_I changes the block-level OOF distribution,IV1;IV2;year_1;Region_1;PMC_T;PMC_Frequency;PMC_BERT
B1_no_PMC_Frequency,B1_full,single PMC removal: PMC_Frequency,removing PMC_Frequency changes the block-level OOF distribution,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_BERT
B1_no_PMC_BERT,B1_full,single PMC removal: PMC_BERT,removing PMC_BERT changes the block-level OOF distribution,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency
B2_full,B2_full,full predeclared interaction block anchor,reference only,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV1_x_PMC_T;IV1_x_PMC_I;IV1_x_PMC_Frequency;IV1_x_PMC_BERT;IV2_x_PMC_T;IV2_x_PMC_I;IV2_x_PMC_Frequency;IV2_x_PMC_BERT
B2_no_interactions,B2_full,all IV×PMC interaction block,B2 should differ from B1 only if interaction block adds predictive information,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT
B2_no_IV1_interactions,B2_full,housing-price interaction subset,deleting IV1 interactions changes B2 OOF output,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV2_x_PMC_T;IV2_x_PMC_I;IV2_x_PMC_Frequency;IV2_x_PMC_BERT
B2_no_IV2_interactions,B2_full,absorption-period interaction subset,deleting IV2 interactions changes B2 OOF output,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV1_x_PMC_T;IV1_x_PMC_I;IV1_x_PMC_Frequency;IV1_x_PMC_BERT
