model,reference,features,what_it_tests,expected_if_component_matters,n_features,cv_protocol,seed,interpretation_scope,rf_param_hash,R2_mean,R2_sd,R2_min,R2_max,R2_oof_mean,R2_oof_sd,R2_fold_mean,R2_fold_sd,R2_fold_min,R2_fold_max,RMSE_mean,RMSE_sd,MSE_mean,n_repeats,n_splits
M0_full,M0_full,IV1;IV2;year_1;Region_1,baseline anchor,reference only,4,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.039933607539578156,0.028974192774280275,-0.10282662257228314,0.006918102840737128,-0.039933607539578156,0.028974192774280275,-0.9245653043250059,1.858613391668902,-9.420204515340032,0.4019115821613163,862.1094411492979,818.8324311551694,1407014.3733271256,20,100
M0_no_IV1,M0_full,IV2;year_1;Region_1,housing-price context contribution,dropping IV1 changes paired OOF R²,3,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0758445089034507,0.004638768536139178,-0.08348536912824733,-0.06791773800831313,-0.0758445089034507,0.004638768536139178,-0.3484410993951036,0.7153477595516493,-6.186809567182709,0.2297305441115588,855.2336964810291,855.3427262157352,1455719.7430938694,20,100
M0_no_IV2,M0_full,IV1;year_1;Region_1,absorption-period context contribution,dropping IV2 changes paired OOF R²,3,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0412052268878058,0.024117817420742465,-0.08969005305770827,-0.003519627102225309,-0.0412052268878058,0.024117817420742465,-0.566675117432015,1.118776747590959,-5.535821944159024,0.27691438236247146,851.4302423688407,831.0374250855189,1408650.4274941047,20,100
M0_controls_only,M0_full,year_1;Region_1,market-context block versus fixed controls,context-only difference is descriptive,2,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07371455954176337,0.005387310462555887,-0.08695261732513138,-0.06370913794491062,-0.07371455954176337,0.005387310462555887,-0.24888353687923648,0.4815392131461031,-4.120571596349912,0.29172635638010447,851.4313391957246,857.4475163687937,1452799.4062583672,20,100
B1_full,B1_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT,full PMC block anchor,reference only,8,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.027582519547342404,0.031109730684729345,-0.11360639939204042,0.0047806603147877436,-0.027582519547342404,0.031109730684729345,-1.1475086850960574,2.135403825023844,-10.919559756901455,0.16975979681359354,865.8489018312152,804.6091966413068,1390616.3205288933,20,100
B1_no_PMC_T,B1_full,IV1;IV2;year_1;Region_1;PMC_I;PMC_Frequency;PMC_BERT,single PMC removal: PMC_T,removing PMC_T changes the block-level OOF distribution,7,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.02467913567208383,0.029041344967015808,-0.1013422001920039,0.005278536789899646,-0.02467913567208383,0.029041344967015808,-1.0286559052706152,1.9915185926854708,-10.04507754771651,0.21185875427555034,859.3462063700023,809.1155796661595,1386597.2434484349,20,100
B1_no_PMC_I,B1_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_Frequency;PMC_BERT,single PMC removal: PMC_I,removing PMC_I changes the block-level OOF distribution,7,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.022959724075820892,0.029969884321389362,-0.10274780136748296,0.007544867349977502,-0.022959724075820892,0.029969884321389362,-1.0337324625062394,2.0299191368216025,-10.235228642026039,0.21654427401820386,858.8847979950631,808.1252826167257,1384218.9039073396,20,100
B1_no_PMC_Frequency,B1_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_BERT,single PMC removal: PMC_Frequency,removing PMC_Frequency changes the block-level OOF distribution,7,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.03316712401092598,0.029107649900678063,-0.0956936743274428,0.005758162228014507,-0.03316712401092598,0.029107649900678063,-1.0475158795044228,2.230476160860883,-12.964724001072112,0.33789641214858224,863.1716626892,812.1155132925625,1398001.6101307755,20,100
B1_no_PMC_BERT,B1_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency,single PMC removal: PMC_BERT,removing PMC_BERT changes the block-level OOF distribution,7,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.021999023074281303,0.030478500417769196,-0.10137038642373208,0.01209012452681757,-0.021999023074281303,0.030478500417769196,-1.0955488854261544,2.1859426714697845,-12.362090227044941,0.34294159706361493,858.8435914666159,807.4128038890661,1383008.5961284386,20,100
B2_full,B2_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV1_x_PMC_T;IV1_x_PMC_I;IV1_x_PMC_Frequency;IV1_x_PMC_BERT;IV2_x_PMC_T;IV2_x_PMC_I;IV2_x_PMC_Frequency;IV2_x_PMC_BERT,full predeclared interaction block anchor,reference only,16,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.03407317531083627,0.04048018315767511,-0.1334192119927764,0.025059400845981017,-0.03407317531083627,0.04048018315767511,-1.8788553545448143,3.7000627811547937,-19.695363513856492,0.24267821845447368,890.3637171206066,783.0394495127041,1399766.8204630506,20,100
B2_no_interactions,B2_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT,all IV×PMC interaction block,B2 should differ from B1 only if interaction block adds predictive information,8,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.027582519547342404,0.031109730684729345,-0.11360639939204042,0.0047806603147877436,-0.027582519547342404,0.031109730684729345,-1.1475086850960574,2.135403825023844,-10.919559756901455,0.16975979681359354,865.8489018312152,804.6091966413068,1390616.3205288933,20,100
B2_no_IV1_interactions,B2_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV2_x_PMC_T;IV2_x_PMC_I;IV2_x_PMC_Frequency;IV2_x_PMC_BERT,housing-price interaction subset,deleting IV1 interactions changes B2 OOF output,12,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0330278987136025,0.033499111085418413,-0.12859414582132644,0.00433594323781572,-0.0330278987136025,0.033499111085418413,-1.4062622237583984,2.5639205133970795,-12.9999222143412,0.17794383981092943,877.161072152978,796.9827847878306,1398241.290156246,20,100
B2_no_IV2_interactions,B2_full,IV1;IV2;year_1;Region_1;PMC_T;PMC_I;PMC_Frequency;PMC_BERT;IV1_x_PMC_T;IV1_x_PMC_I;IV1_x_PMC_Frequency;IV1_x_PMC_BERT,absorption-period interaction subset,deleting IV2 interactions changes B2 OOF output,12,RepeatedKFold(5x20),42,targeted predictive ablation; no causal interpretation,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.027024652263855024,0.040520715796834084,-0.11669359596137396,0.026174304196192932,-0.027024652263855024,0.040520715796834084,-1.7622479963020796,3.5458044218519644,-19.470099646592832,0.24354835458259172,882.7986999332832,785.4932211789761,1390163.1491168374,20,100
