city_key,pmc_code,indicator,source_label,dimension,value
白沙,P1,x1_1,X1: 1,x1,0.0
北海,P2,x1_1,X1: 1,x1,0.0
北京,P3,x1_1,X1: 1,x1,1.0
澄迈,P4,x1_1,X1: 1,x1,0.0
儋州,P5,x1_1,X1: 1,x1,0.0
定安,P6,x1_1,X1: 1,x1,1.0
东方,P7,x1_1,X1: 1,x1,0.0
东莞,P8,x1_1,X1: 1,x1,0.0
东营,P9,x1_1,X1: 1,x1,0.0
佛山,P10,x1_1,X1: 1,x1,0.0
广州,P11,x1_1,X1: 1,x1,0.0
海口,P12,x1_1,X1: 1,x1,0.0
合肥,P13,x1_1,X1: 1,x1,0.0
惠州,P14,x1_1,X1: 1,x1,0.0
九江,P15,x1_1,X1: 1,x1,0.0
兰州,P16,x1_1,X1: 1,x1,0.0
乐东,P17,x1_1,X1: 1,x1,0.0
乐山,P18,x1_1,X1: 1,x1,0.0
丽水,P19,x1_1,X1: 1,x1,1.0
临高,P20,x1_1,X1: 1,x1,1.0
陵水,P21,x1_1,X1: 1,x1,1.0
六安,P22,x1_1,X1: 1,x1,0.0
清远,P23,x1_1,X1: 1,x1,0.0
琼海,P24,x1_1,X1: 1,x1,0.0
琼中,P25,x1_1,X1: 1,x1,0.0
汕头,P26,x1_1,X1: 1,x1,0.0
上海,P27,x1_1,X1: 1,x1,0.0
上饶,P28,x1_1,X1: 1,x1,0.0
韶关,P29,x1_1,X1: 1,x1,0.0
深圳,P30,x1_1,X1: 1,x1,0.0
万宁,P31,x1_1,X1: 1,x1,0.0
文昌,P32,x1_1,X1: 1,x1,1.0
五指山,P33,x1_1,X1: 1,x1,1.0
信阳,P34,x1_1,X1: 1,x1,0.0
义乌,P35,x1_1,X1: 1,x1,1.0
肇庆,P36,x1_1,X1: 1,x1,0.0
中山,P37,x1_1,X1: 1,x1,0.0
中卫,P38,x1_1,X1: 1,x1,0.0
珠海,P39,x1_1,X1: 1,x1,0.0
屯昌,P40,x1_1,X1: 1,x1,1.0
昌江,P41,x1_1,X1: 1,x1,1.0
白沙,P1,x1_2,X1: 2,x1,0.0
北海,P2,x1_2,X1: 2,x1,1.0
北京,P3,x1_2,X1: 2,x1,0.0
澄迈,P4,x1_2,X1: 2,x1,0.0
儋州,P5,x1_2,X1: 2,x1,1.0
定安,P6,x1_2,X1: 2,x1,0.0
东方,P7,x1_2,X1: 2,x1,0.0
