indicator_code,indicator_name,subindicator_count,assignment_method,observed_code_values,data_source,semantic_name_status
x1,Policy issuing authority,3,binary 0/1 coding,0|1,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x2,Regulatory period,4,numeric source coding; inspect codebook,0|1|2,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x3,Regulatory requirements,3,numeric source coding; inspect codebook,0|1|2|3,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x4,Disbursement conditions,2,numeric source coding; inspect codebook,0|1|2,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x5,Fund-use nodes,5,numeric source coding; inspect codebook,0|1|2|3,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x6,Regulated parties,3,numeric source coding; inspect codebook,0|1|2|3|4,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x7,Developer obligations,5,numeric source coding; inspect codebook,0|1|2|3|4,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x8,Relaxation clauses,2,binary 0/1 coding,0|1,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x9,Additional security,5,numeric source coding; inspect codebook,0|1|2,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
x10,Credit-grade classification,1,numeric source coding; inspect codebook,0|1|2,测试信效度的数据_.xlsx: Evaluation-transfer first P1-P41 block; names from approved 33-item X1-X10 codebook,来自 33-item X1-X10 codebook
